Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
419761;19541931000125;18 DE JULHO ADMINISTRADORA DE BENEFCIOS LTDA;;Administradora de Benefcios;RUA CAPITO MEDEIROS DE REZENDE;274;;PRAA DA BANDEIRA;Alm Paraba;MG;36660000;32;34624649.0;;contabilidade@cbnassessoria.com.br;LUIZ HENRIQUE MARENDINO GONALVES;SCIO ADMINISTRADOR;6.0;2015-05-19
421545;22869997000153;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLGICOS LTDA;;Odontologia de Grupo;RUA CATO;128;SALA 126;VILA ROMANA;So Paulo;SP;5049000;11.0;34415852.0;;labmarisol@gmail.com;MARISOL BECHELLI;SCIO ADMINISTRADORA;4.0;2019-06-13
421421;27452545000195;2CARE OPERADORA DE SADE LTDA.;;Medicina de Grupo;RUA: BERNARDINO DE CAMPOS;230;1 ANDAR;CENTRO;Campinas;SP;13010151;19.0;37901224.0;;ans.plano@hospitalcare.com.br;RODRIGO PINHO RIBEIRO;REPRESENTANTE;5.0;2018-10-09
422908;41788751000100;3S ADMINISTRADORA DE BENEFICIOS LTDA;3S ADMINISTRADORA DE BENEFICIOS;Administradora de Benefcios;RUA ITLIA;33;SALA 6;JARDIM BONFIGLIOLI;Jundia;SP;13207280;11.0;42263247.0;;pietrorocchi37@gmail.com;ANAMELIA MONTEIRO GUERRA ROCCHI;SCIO ADMINISTRADOR;6.0;2021-07-12
418030;13138885000131;A.P.S. ADMINISTRADORA DE BENEFCOS LTDA.;A.P.S. SADE.;Administradora de Benefcios;RUA VOLUNTRIOS DA PTRIA;2525;CONJUNTO 143 - SALA 01;SANTANA;So Paulo;SP;2401000;11.0;45223468.0;;diretoria@apssaude.com.br;PERCVEL GAETA;SCIO-ADMINISTRADOR E REPRESEN;4.0;2011-05-05
314668;17505793000101;ABERTTA SADE - ASSOCIAO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SADE;Autogesto;AV. BERNARDO MONTEIRO;831;Subsolo, 2 andar e 3 andar;SANTA EFIGNIA;Belo Horizonte;MG;30150281;31.0;32484300.0;32484377.0;abertta.ans@arcelormittal.com.br;RICARDO DUPIN LUSTOSA;Diretor Presidente;4.0;1998-12-28
419621;17687511000126;ABPLUS ADMINISTRADORA DE BENEFCIOS LTDA.;;Administradora de Benefcios;AVENIDA JOS DA SILVA NETO;200;BLOCO 4, SALA 403;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056;;;;contato@abplus.com.br;ROBERTO CARLOS MACHADO RODRIGUES;ADMINISTRADOR;6.0;2014-11-13
424242;56298884000167;ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.;ABRANGE SADE;Administradora de Benefcios;RUA CEL. JOS EUSEBIO;95.0;SALA 13;HIGIENOPOLIS;So Paulo;SP;1239030;11.0;920554400.0;;dayanasantos@abrangesaude.com.br;DAYANA DOS SANTOSDE BRITO FLORNCIO;ADMINISTRADORA;;2025-01-06
418901;10458298000131;AD SALUTE ADMINISTRADORA DE BENEFCIOS LTDA;AD SALUTE;Administradora de Benefcios;RUA BUENOS AIRES;68;SALA 2901;CENTRO;Rio de Janeiro;RJ;20070020;21.0;35531692.0;;LEONARDO@UNIMEDICASAUDE.COM;JOO CARMO DA SILVEIRA;ADMINISTRADOR;5.0;2013-06-13
421553;28315826000169;ADM LIFE - ADMINISTRADORA DE BENEFCIOS LTDA.;ADM LIFE;Administradora de Benefcios;AVENIDA PEDROSO DE MORAIS;272;CJ 96;PINHEIROS;So Paulo;SP;5420000;11.0;99475503.0;;cristiane@admlife.com.br;NELITO JNIOR DE ALMEIDA SILVA;Scio Administrador;4.0;2019-01-09
416932;7867825000157;ADMSERV BENEFCIOS E SERVIOS LTDA;GIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefcios;Avenida Valdemar Ferreira;463;;Butant;So Paulo;SP;5501000;11.0;36602000.0;36602000.0;sandra@geia.com.br;PEDRO OLIVEIRA OBLIZINER;SCIO ADMINISTRADOR;2.0;2009-03-30
422347;37201454000130;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefcios;AVENIDA RIO BRANCO;125;15 ANDAR  SALA 1501;CENTRO;Rio de Janeiro;RJ;20040006;21.0;22524066.0;;contato@adress.com.br;LAIR ISABEL BOHRER DIEDAM;SCIA ADMINISTRADORA;6.0;2020-09-03
335657;2041808000142;ADVANCE PLANOS DE SADE LTDA;;Medicina de Grupo;RUA DOS BURITIS;128;SALA 202 - CENTRO EMPRESARIAL ZONA SUL;JABAQUARA;So Paulo;SP;4321000;;;;planosdesaude@advanceplanos.com.br;JOS JAIR JAMES DE ARRUDA PINTO;ADMINISTRADOR;4.0;1998-12-28
413283;3694367000140;AESP ODONTO ASSISTNCIA ODONTOLGICA S/S LTDA EPP;;Odontologia de Grupo;ALAMEDA GRAJA;60;SALA 2814;ALPHAVILLE INDUSTRIAL;Barueri;SP;6454050;1.0;168135656.0;168135656.0;aespodonto@aespodonto.com.br;CARLOS EUGENIO PORTO BRAGA;ADMINISTRADOR;4.0;2001-03-07
419907;22891640000171;AFFIANCE LIFE ADMINISTRADORA DE BENEFCIOS EM SADE LTDA;AFFIANCE LIFE BENEFCIOS;Administradora de Benefcios;AVENIDA FONSO PENA ;867;23 ANDAR - SALAS 2301 A  2305;CENTRO;Belo Horizonte;MG;30130905;31.0;98148128.0;;atendimento@affiancelife.com.br;FABIANA DA SILVA CARDOSO;ADMINISTRADORA NO SCIA;4.0;2015-09-23
417424;11158465000191;AFFIX ADMINISTRADORA DE BENEFCIOS LTDA;AFFIX BENEFCIOS;Administradora de Benefcios;Alameda Santos;2441;Conjuntos 41 e 42, 4 andar, Sala admini;Cerqueira Csar;So Paulo;SP;1419101;11.0;39952217.0;;pedro.rezende@affixbeneficios.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;SCIO ADMINISTRADOR;1.0;2010-07-16
368920;20320487000105;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogesto;AVENIDA PURDUE;S/N;;CAMPUS DA UFV;Viosa;MG;36570900;31.0;38996550.0;38996550.0;institucional@agros.org.br;CLAUDIO FURTADO SOARES;DIRETOR PRESIDENTE;4.0;1998-12-18
424285;57522360000170;AIRES OPERADORA DE SAUDE LTDA;AIRES OPERADORA DE SAUDE ;Medicina de Grupo;AVENIDA PRESIDENTE KENNEDY;1001.0;BLOCO D;PEIXINHOS;Olinda;PE;53230971;81.0;992463135.0;;jjppcc@gmail.com;JOSE PEREIRA DA COSTA;ADMINISTRADOR;;2024-12-16
417742;10387254000168;ALACOR CASF ASSOCIAO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefcios;AVENIDA RIO BRANCO;131;10 ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;21040006;21.0;25054500.0;;RODRIGO.PEIXOTO@ALACORO.COM.BR;ANADIA BIENHACHEWSKI FERREIRA ALVES;DIRETORA PRESIDENTE;6.0;2010-12-20
416975;6258813000162;ALCANCE SADE LTDA;ALCANCE SADE;Medicina de Grupo;RUA CUSSY DE ALMEIDA JUNIOR;1931;;SAO JOAO;Araatuba;SP;16025050;;;;reginaldo.alcancesaude@gmail.com;VALDECIR DONIZETE LOCATELLI;REPRESENTANTE;6.0;2009-07-03
421928;34266553000102;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;Avenida Rebouas ;3535;;Pinheiros;So Paulo;SP;5401400;11.0;41186896.0;;regulatorio@alice.com.br;MATHEUS HERMSDORFF MORAES;Diretor;4.0;2019-11-01
417289;7674593000110;ALL CARE ADMINISTRADORA DE BENEFCIOS SO PAULO LTDA;;Administradora de Benefcios;ALAMEDA SANTOS;1357;2 e 7 ANDAR;JARDIM PAULISTA;So Paulo;SP;1419908;11.0;30039499.0;;ans@allcare.com.br;FARIAS PEREIRA DE SOUZA;DIRETOR PRESIDENTE;1.0;2010-05-14
417459;11165556000154;ALLCARE ADMINISTRADORA DE BENEFCIOS EM SADE LTDA.;ALLCARE ADMINISTRADORA DE BENEFCIOS EM SADE;Administradora de Benefcios;SCS QD. 03 BLOCO A;LOTE;107/111;ASA SUL;Braslia;DF;70303907;61.0;30443600.0;30443615.0;ans@allcare.com.br;FARIAS PEREIRA DE SOUSA ;DIRETOR PRESIDENTE;1.0;2010-07-16
